Date,Spectateurs en moyenne,Nouveaux followers,Minutes passées en stream,Minutes regardées,Vues live,Spectateurs max.,Spectateurs uniques,Viewers impliqués,Spectateurs d'hébergements et de raids (%),Personnes sur le chat,Messages du chat,Clips créés,Visionnements clips,Vues de clips à la une,Vues de clips non mis à la une,Pauses publicité (minutes),Durée de publicité (en secondes) par heure,Revenu issu des abonnements,Revenu Prime,Revenus issus des abonnements offerts,Revenu des Bits,Revenu issu de la publicité,Revenus Turbo,Revenu issu des ventes de jeux,Revenu des extensions,Revenus des offres,Autres revenus d'interactions de Bits,Nouveaux viewers impliqués,Anciens viewers impliqués,Abonnements Prime,Abonnements payés au total,Abonnement niveau 1,Abonnement niveau 2,Abonnement niveau 3,Abonnements offerts au total,Abonnements offerts de niveau 1,Abonnements offerts de niveau 2,Abonnements offerts de niveau 3,Total des abonnements de plusieurs mois offerts,Abonnements de niveau 1 de plusieurs mois offerts,Abonnements de niveau 2 de plusieurs mois offerts,Abonnements de niveau 3 de plusieurs mois offerts
Fri Aug 01 2025,3.19,10,2767,8844,510,9,95,29,0,43,2457,11,12,13,3,60,78.06,2.73,4.65,2.27,0,0.48,0.01,0,0,0,0,13,20,3,2,2,0,0,1,1,0,0,0,0,0,0
Mon Sep 01 2025,1.73,2,341,588,70,4,17,7,0,13,154,0,0,0,0,11,116.13,0,0,0,0,0.02,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
