Date,Spectateurs en moyenne,Nouveaux followers,Minutes passées en stream,Minutes regardées,Vues live,Spectateurs max.,Spectateurs uniques,Viewers impliqués,Spectateurs d'hébergements et de raids (%),Personnes sur le chat,Messages du chat,Clips créés,Visionnements clips,Vues de clips à la une,Vues de clips non mis à la une,Pauses publicité (minutes),Durée de publicité (en secondes) par heure,Revenu issu des abonnements,Revenu Prime,Revenus issus des abonnements offerts,Revenu des Bits,Revenu issu de la publicité,Revenus Turbo,Revenu issu des ventes de jeux,Revenu des extensions,Revenus des offres,Autres revenus d'interactions de Bits,Nouveaux viewers impliqués,Anciens viewers impliqués,Abonnements Prime,Abonnements payés au total,Abonnement niveau 1,Abonnement niveau 2,Abonnement niveau 3,Abonnements offerts au total,Abonnements offerts de niveau 1,Abonnements offerts de niveau 2,Abonnements offerts de niveau 3,Total des abonnements de plusieurs mois offerts,Abonnements de niveau 1 de plusieurs mois offerts,Abonnements de niveau 2 de plusieurs mois offerts,Abonnements de niveau 3 de plusieurs mois offerts
Sun Jun 01 2025,2.3,9,1701,3913,257,8,65,25,0,32,979,2,22,19,3,51,107.94,2.49,0,0,0,0.24,0,0,0,0,0,8,20,0,2,2,0,0,0,0,0,0,0,0,0,0
Tue Jul 01 2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
